	AveExpr	Coef.two - one	Coef.four - two	Coef.eight - four	Coef.morula - eight	Coef.blastocyst - morula	t.two - one	t.four - two	t.eight - four	t.morula - eight	t.blastocyst - morula	P.value.two - one	P.value.four - two	P.value.eight - four	P.value.morula - eight	P.value.blastocyst - morula	F	F.p.value
ENSMUST00000000003	4.22367630948136	0.139639492125315	0.0725719404253979	-0.0391728256647532	0.589718037093379	-0.762205934758033	0.872227466482601	0.453304711808644	-0.273565548877309	2.91209754269926	-3.76386321941209	0.39892903441732	0.657813307691435	0.788722433411955	0.0121377562931333	0.00236962462095476	3.40234895958803	0.0349219256898009
ENSMUST00000000033	5.39663802392793	0.130083530957031	-0.0420565940739763	-0.0783596406051172	0.0792479458708568	0.0859024735822036	1.23965863837548	-0.400787246170901	-0.83488611088321	0.597046032819261	0.647180573553225	0.237043313044372	0.695094789191909	0.418881190715422	0.560745636004771	0.528793160172232	1.00239746558076	0.454233356721778
ENSMUST00000000049	5.69179589204833	0.0850303665662766	-0.0813969730215414	0.070184560420234	-0.101446456859118	-0.028266935646279	0.702115132221479	-0.672113372943092	0.647934153128072	-0.662233542014531	-0.18452406810943	0.495003756024816	0.5132959940547	0.528320885893937	0.519405085020003	0.856453634435422	0.433228132624418	0.817587091572379
ENSMUST00000000080	5.14822924308597	0.0748123986154194	-0.0203509532400838	0.0674281774593544	0.738788364981443	-0.204305364555678	0.69735993741129	-0.189700367057071	0.702716000679288	5.44431783047705	-1.50557777008377	0.497876835203951	0.852477814104123	0.494641419011248	0.00011284812709903	0.156113778841914	18.4970011138513	1.6988643387379e-05
ENSMUST00000000090	11.8101496626504	-0.41341381990323	0.428115122928784	0.471943245185672	-0.362538983583502	0.968102115290618	-1.84837348944279	1.91410302596157	2.35911722460856	-1.28144349852269	3.42188900427448	0.0874492509893478	0.0779086878302975	0.0346564034769316	0.222453627025398	0.00455525874418138	11.7888636703753	0.000187027917681758
ENSMUST00000000096	5.25449979361871	-0.556761237033171	-0.205234485300707	0.0380124535837307	0.0857837793913516	-0.133294760706596	-3.31360484155296	-1.22146790924228	0.252937157902546	0.403623932854753	-0.627169331160914	0.00560859198639526	0.243626926809516	0.804277726184026	0.693058701626247	0.541421864047338	7.5752785843089	0.00157419768080963
ENSMUST00000000109	5.46357421404583	-0.97970674591584	-0.201955189038339	-0.359930763563987	-0.0867848376346441	0.118879515946056	-6.29932206230027	-1.29853222222736	-2.58744834628427	-0.441145220561129	0.604289086798823	2.76471538066705e-05	0.216697716383624	0.022556247507846	0.666365507350475	0.556065316816768	34.7493438455962	4.49489670286458e-07
ENSMUST00000000122	5.59034613736939	0.149970137618912	-0.0336549298384066	-0.0886420285887191	-0.0617346756973713	0.251929723422397	1.00007515980258	-0.22442774188696	-0.660879899590702	-0.325459557776424	1.32815043489864	0.335550739744456	0.825918072183997	0.520245357077371	0.750019159205708	0.207006123668909	0.812787695495663	0.561224502965742
ENSMUST00000000145	5.50453369837808	-0.317975003067135	0.00872573244064956	0.100357904310102	3.18850034925078	-0.106200055617021	-1.62616593497266	0.0446245419161905	0.573823683860836	12.89134872135	-0.429374878854091	0.127931051155994	0.965085680230365	0.575894095900283	8.9472919005472e-09	0.674690513146774	123.64464309215	1.76984943201998e-10
ENSMUST00000000161	5.28045161510912	0.297334527257408	-0.142809268343333	-0.115047308590888	-0.423429054651204	0.459786025367382	2.1603998484797	-1.03763637723559	-0.934588137619874	-2.43225697895138	2.64109832979066	0.0500246261941949	0.31838072119752	0.367059442238008	0.030225563977889	0.0203725874085727	3.06556623681454	0.0481411543455482
ENSMUST00000000208	4.33681573645678	-0.167584101062126	0.0719818980811908	0.209107109007025	0.639981725119871	-0.595158128663587	-1.14526097288115	0.491920522912464	1.59770079626469	3.45763566135578	-3.2154667688793	0.272775599725685	0.6309886013851	0.134153882706075	0.00425329817372885	0.00677368721753616	5.49066112701236	0.00622665402343215
ENSMUST00000000219	6.20650786245035	-0.220067333943853	-0.471912241918326	-0.202496533737613	-0.0178079917155154	-0.069553455696874	-1.57731436625546	-3.38239185911849	-1.62268894270696	-0.10090614863143	-0.394113578358392	0.138769950032444	0.00491414698397287	0.128677478278638	0.921166709982144	0.69989463832542	18.7415632183575	1.57961680468922e-05
ENSMUST00000000220	6.78087967303486	-0.123435015788552	-0.0653397697866582	-0.109834697681081	0.0951158223810751	-0.152099149849109	-1.14388284615379	-0.605509233770662	-1.13798813982873	0.696844611713727	-1.11432010327315	0.27332638299798	0.555278985037035	0.27569186752489	0.498188789505657	0.285346939114837	3.3476285566574	0.0367581191201462
ENSMUST00000000221	5.7355492818746	0.0981231132122771	0.0261986705483128	-0.0495620153476333	-0.0142986245899595	-0.104188219622738	0.80215609514417	0.21417403685041	-0.452993044093807	-0.0924106109584014	-0.673358263896672	0.436900835038772	0.833738617665296	0.658031896612537	0.927782630016861	0.512529207625901	0.634403516410397	0.677392390772128
ENSMUST00000000253	4.85591256574175	0.262267362590247	-0.788387241017803	0.121727752921908	-0.0597228675171735	-0.153664830113779	1.62758548816375	-4.89259364894283	0.844586570574731	-0.293008500803216	-0.753900530393521	0.127627390658127	0.000295109736094504	0.413635745276345	0.774146725018757	0.464364026076489	9.10034149212192	0.000671192092354154
ENSMUST00000000260	5.78540865838274	-0.616042562680327	-0.168609133553032	0.102557331987627	-0.325125144327608	0.240837725452027	-2.98592523605808	-0.817239420463769	0.555763385236392	-1.24582997861935	0.922853441468369	0.0105333598530679	0.428535234790001	0.587823099098435	0.23484197432412	0.372917502534389	5.68389979693946	0.00541368105688651
ENSMUST00000000284	6.85733707067231	2.08235433077311	0.722513834107004	0.322941576268907	-0.184040744448345	0.641175033762512	6.66592986520259	2.31287561085139	1.15580635156138	-0.465757760095318	1.62264203206418	1.56020646525567e-05	0.037770606619736	0.268589116611623	0.649106299111307	0.128687574688146	41.0970401551079	1.64521638044299e-07
ENSMUST00000000287	8.14657443503809	0.19172758677095	0.100524037772411	0.0553090140207395	-0.513027199825222	-0.0562541204560647	0.734468298957711	0.385086571372055	0.236885987998033	-1.55370602393724	-0.170365949122493	0.475721193906292	0.706408434615259	0.816442141957313	0.144285822060752	0.867348749818118	1.76711594109145	0.189042845153279
ENSMUST00000000299	5.12398212510886	-0.0652348125831956	0.166922792049485	0.0367600805012582	-0.234632175578495	-0.27924432069008	-0.394943553214081	1.01058128312031	0.248821022463053	-1.12300886940622	-1.33653386664935	0.699296965715331	0.330682131020398	0.807392237120976	0.281773124792204	0.204327660110831	3.06941961435287	0.0479609573493989
